e-0-1     | 02:41:12.222 [W0] INFO:	sim_time 9_306_912_661us: CameraFrameEvent(camera_front_tele_30fov, 9_306_882_661->9_306_912_661us)
runtime-0-1     | 02:41:24.396 [W0] INFO:	sim_time 9_307_212_661us: StepEvent @ 9_307_212_661us
runtime-0-1     | 02:41:24.398 [W0] INFO:	sim_time 9_307_312_661us: CameraFrameEvent(camera_front_wide_120fov, 9_307_282_661->9_307_312_661us)
runtime-0-1     | 02:41:24.615 [W0] INFO:	sim_time 9_307_312_661us: CameraFrameEvent(camera_cross_left_120fov, 9_307_282_661->9_307_312_661us)
runtime-0-1     | 02:41:24.760 [W0] INFO:	sim_time 9_307_312_661us: CameraFrameEvent(camera_front_tele_30fov, 9_307_282_661->9_307_312_661us)
runtime-0-1     | 02:41:24.986 [W0] INFO:	sim_time 9_307_312_661us: CameraFrameEvent(camera_cross_right_120fov, 9_307_282_661->9_307_312_661us)
runtime-0-1     | 02:41:25.201 [W0] INFO:	sim_time 9_307_312_661us: PolicyEvent @ 9_307_312_661us
runtime-0-1     | 02:41:25.202 [W0] INFO:	Draining 6 outstanding tasks
driver-0-1      | [2026-06-10 02:41:27,454][alpasim_driver.models.alpamayo_base][INFO] - Alpamayo15Model Chain-of-Causation: ['Keep distance to the lead vehicle since it is moving slowly ahead']
runtime-0-1     | 02:41:27.479 [W0] INFO:	sim_time 9_307_312_661us: ControllerEvent @ 9_307_312_661us
runtime-0-1     | 02:41:27.489 [W0] INFO:	sim_time 9_307_312_661us: PhysicsEvent @ 9_307_312_661us
runtime-0-1     | 02:41:27.489 [W0] INFO:	sim_time 9_307_312_661us: TrafficEvent @ 9_307_312_661us
runtime-0-1     | 02:41:27.490 [W0] INFO:	sim_time 9_307_312_661us: PhysicsEvent @ 9_307_312_661us
runtime-0-1     | 02:41:27.490 [W0] INFO:	sim_time 9_307_312_661us: StepEvent @ 9_307_312_661us
runtime-0-1     | 02:41:27.491 [W0] INFO:	sim_time 9_307_412_661us: CameraFrameEvent(camera_cross_left_120fov, 9_307_382_661->9_307_412_661us)
runtime-0-1     | 02:41:27.651 [W0] INFO:	sim_time 9_307_412_661us: CameraFrameEvent(camera_front_tele_30fov, 9_307_382_661->9_307_412_661us)
runtime-0-1     | 02:41:27.962 [W0] INFO:	sim_time 9_307_412_661us: CameraFrameEvent(camera_front_wide_120fov, 9_307_382_661->9_307_412_661us)
runtime-0-1     | 02:41:28.110 [W0] INFO:	sim_time 9_307_412_661us: CameraFrameEvent(camera_cross_right_120fov, 9_307_382_661->9_307_412_661us)
runtime-0-1     | 02:41:28.329 [W0] INFO:	sim_time 9_307_412_661us: PolicyEvent @ 9_307_412_661us
runtime-0-1     | 02:41:28.329 [W0] INFO:	Draining 6 outstanding tasks
driver-0-1      | [2026-06-10 02:41:30,650][alpasim_driver.models.alpamayo_base][INFO] - Alpamayo15Model Chain-of-Causation: ['Keep distance to the cut-in vehicle since it merges into our lane ahead']
runtime-0-1     | 02:41:30.674 [W0] INFO:	sim_time 9_307_412_661us: ControllerEvent @ 9_307_412_661us
runtime-0-1     | 02:41:30.681 [W0] INFO:	sim_time 9_307_412_661us: PhysicsEvent @ 9_307_412_661us
runtime-0-1     | 02:41:30.682 [W0] INFO:	sim_time 9_307_412_661us: TrafficEvent @ 9_307_412_661us
runtime-0-1     | 02:41:30.682 [W0] INFO:	sim_time 9_307_412_661us: PhysicsEvent @ 9_307_412_661us
runtime-0-1     | 02:41:30.683 [W0] INFO:	sim_time 9_307_412_661us: StepEvent @ 9_307_412_661us
runtime-0-1     | 02:41:30.688 [W0] INFO:	sim_time 9_307_512_661us: CameraFrameEvent(camera_front_wide_120fov, 9_307_482_661->9_307_512_661us)
runtime-0-1     | 02:41:30.927 [W0] INFO:	sim_time 9_307_512_661us: CameraFrameEvent(camera_cross_right_120fov, 9_307_482_661->9_307_512_661us)
runtime-0-1     | 02:41:31.230 [W0] INFO:	sim_time 9_307_512_661us: CameraFrameEvent(camera_cross_left_120fov, 9_307_482_661->9_307_512_661us)
runtime-0-1     | 02:41:31.353 [W0] INFO:	sim_time 9_307_512_661us: CameraFrameEvent(camera_front_tele_30fov, 9_307_482_661->9_307_512_661us)
runtime-0-1     | 02:41:31.581 [W0] INFO:	sim_time 9_307_512_661us: PolicyEvent @ 9_307_512_661us
runtime-0-1     | 02:41:31.582 [W0] INFO:	Draining 6 outstanding tasks
driver-0-1      | [2026-06-10 02:41:33,909][alpasim_driver.models.alpamayo_base][INFO] - Alpamayo15Model Chain-of-Causation: ['Keep distance to the lead vehicle since it is moving slowly ahead in our lane']
runtime-0-1     | 02:41:33.934 [W0] INFO:	sim_time 9_307_512_661us: ControllerEvent @ 9_307_512_661us
runtime-0-1     | 02:41:33.943 [W0] INFO:	sim_time 9_307_512_661us: PhysicsEvent @ 9_307_512_661us
runtime-0-1     | 02:41:33.943 [W0] INFO:	sim_time 9_307_512_661us: TrafficEvent @ 9_307_512_661us
runtime-0-1     | 02:41:33.944 [W0] INFO:	sim_time 9_307_512_661us: PhysicsEvent @ 9_307_512_661us
runtime-0-1     | 02:41:33.944 [W0] INFO:	sim_time 9_307_512_661us: StepEvent @ 9_307_512_661us
runtime-0-1     | 02:41:33.946 [W0] INFO:	sim_time 9_307_612_661us: CameraFrameEvent(camera_cross_left_120fov, 9_307_582_661->9_307_612_661us)
runtime-0-1     | 02:41:34.108 [W0] INFO:	sim_time 9_307_612_661us: CameraFrameEvent(camera_front_tele_30fov, 9_307_582_661->9_307_612_661us)
runtime-0-1     | 02:41:34.421 [W0] INFO:	sim_time 9_307_612_661us: CameraFrameEvent(camera_front_wide_120fov, 9_307_582_661->9_307_612_661us)
runtime-0-1     | 02:41:34.579 [W0] INFO:	sim_time 9_307_612_661us: CameraFrameEvent(camera_cross_right_120fov, 9_307_582_661->9_307_612_661us)
runtime-0-1     | 02:41:34.796 [W0] INFO:	sim_time 9_307_612_661us: PolicyEvent @ 9_307_612_661us
runtime-0-1     | 02:41:34.797 [W0] INFO:	Draining 6 outstanding tasks
driver-0-1      | [2026-06-10 02:41:37,095][alpasim_driver.models.alpamayo_base][INFO] - Alpamayo15Model Chain-of-Causation: ['Keep distance to the cut-in vehicle since it merges into our lane ahead']
runtime-0-1     | 02:41:37.120 [W0] INFO:	sim_time 9_307_612_661us: ControllerEvent @ 9_307_612_661us
runtime-0-1     | 02:41:37.128 [W0] INFO:	sim_time 9_307_612_661us: PhysicsEvent @ 9_307_612_661us
runtime-0-1     | 02:41:37.128 [W0] INFO:	sim_time 9_307_612_661us: TrafficEvent @ 9_307_612_661us
runtime-0-1     | 02:41:37.129 [W0] INFO:	sim_time 9_307_612_661us: PhysicsEvent @ 9_307_612_661us
runtime-0-1     | 02:41:37.130 [W0] INFO:	sim_time 9_307_612_661us: StepEvent @ 9_307_612_661us
runtime-0-1     | 02:41:37.131 [W0] INFO:	sim_time 9_307_712_661us: CameraFrameEvent(camera_front_tele_30fov, 9_307_682_661->9_307_712_661us)
runtime-0-1     | 02:41:37.427 [W0] INFO:	sim_time 9_307_712_661us: CameraFrameEvent(camera_front_wide_120fov, 9_307_682_661->9_307_712_661us)
runtime-0-1     | 02:41:37.603 [W0] INFO:	sim_time 9_307_712_661us: CameraFrameEvent(camera_cross_left_120fov, 9_307_682_661->9_307_712_661us)
runtime-0-1     | 02:41:37.724 [W0] INFO:	sim_time 9_307_712_661us: CameraFrameEvent(camera_cross_right_120fov, 9_307_682_661->9_307_712_661us)
runtime-0-1     | 02:41:37.953 [W0] INFO:	sim_time 9_307_712_661us: PolicyEvent @ 9_307_712_661us
runtime-0-1     | 02:41:37.954 [W0] INFO:	Draining 6 outstanding tasks
driver-0-1      | [2026-06-10 02:41:40,280][alpasim_driver.models.alpamayo_base][INFO] - Alpamayo15Model Chain-of-Causation: ['Keep distance to the lead vehicle since it is directly ahead in our lane']
runtime-0-1     | 02:41:40.306 [W0] INFO:	sim_time 9_307_712_661us: ControllerEvent @ 9_307_712_661us
runtime-0-1     | 02:41:40.315 [W0] INFO:	sim_time 9_307_712_661us: PhysicsEvent @ 9_307_712_661us
runtime-0-1     | 02:41:40.315 [W0] INFO:	sim_time 9_307_712_661us: TrafficEvent @ 9_307_712_661us
runtime-0-1     | 02:41:40.316 [W0] INFO:	sim_time 9_307_712_661us: PhysicsEvent @ 9_307_712_661us
runtime-0-1     | 02:41:40.317 [W0] INFO:	sim_time 9_307_712_661us: StepEvent @ 9_307_712_661us
runtime-0-1     | 02:41:40.318 [W0] INFO:	sim_time 9_307_812_661us: CameraFrameEvent(camera_cross_left_120fov, 9_307_782_661->9_307_812_661us)
runtime-0-1     | 02:41:40.493 [W0] INFO:	sim_time 9_307_812_661us: CameraFrameEvent(camera_cross_right_120fov, 9_307_782_661->9_307_812_661us)
runtime-0-1     | 02:41:40.866 [W0] INFO:	sim_time 9_307_812_661us: CameraFrameEvent(camera_front_tele_30fov, 9_307_782_661->9_307_812_661us)
runtime-0-1     | 02:41:41.074 [W0] INFO:	sim_time 9_307_812_661us: CameraFrameEvent(camera_front_wide_120fov, 9_307_782_661->9_307_812_661us)
runtime-0-1     | 02:41:41.222 [W0] INFO:	sim_time 9_307_812_661us: PolicyEvent @ 9_307_812_661us
runtime-0-1     | 02:41:41.223 [W0] INFO:	Draining 6 outstanding tasks
driver-0-1      | [2026-06-10 02:41:43,535][alpasim_driver.models.alpamayo_base][INFO] - Alpamayo15Model Chain-of-Causation: ['Accelerate to proceed through the intersection since the straight traffic light turns green']
runtime-0-1     | 02:41:43.560 [W0] INFO:	sim_time 9_307_812_661us: ControllerEvent @ 9_307_812_661us
runtime-0-1     | 02:41:43.570 [W0] INFO:	sim_time 9_307_812_661us: PhysicsEvent @ 9_307_812_661us
runtime-0-1     | 02:41:43.570 [W0] INFO:	sim_time 9_307_812_661us: TrafficEvent @ 9_307_812_661us
runtime-0-1     | 02:41:43.570 [W0] INFO:	sim_time 9_307_812_661us: PhysicsEvent @ 9_307_812_661us
runtime-0-1     | 02:41:43.571 [W0] INFO:	sim_time 9_307_812_661us: StepEvent @ 9_307_812_661us
runtime-0-1     | 02:41:43.573 [W0] INFO:	sim_time 9_307_912_661us: CameraFrameEvent(camera_front_tele_30fov, 9_307_882_661->9_307_912_661us)
runtime-0-1     | 02:41:43.868 [W0] INFO:	sim_time 9_307_912_661us: CameraFrameEvent(camera_front_wide_120fov, 9_307_882_661->9_307_912_661us)
runtime-0-1     | 02:41:44.133 [W0] INFO:	sim_time 9_307_912_661us: CameraFrameEvent(camera_cross_left_120fov, 9_307_882_661->9_307_912_661us)
runtime-0-1     | 02:41:44.270 [W0] INFO:	sim_time 9_307_912_661us: CameraFrameEvent(camera_cross_right_120fov, 9_307_882_661->9_307_912_661us)
runtime-0-1     | 02:41:44.506 [W0] INFO:	sim_time 9_307_912_661us: PolicyEvent @ 9_307_912_661us
runtime-0-1     | 02:41:44.507 [W0] INFO:	Draining 6 outstanding tasks
driver-0-1      | [2026-06-10 02:41:47,950][alpasim_driver.models.alpamayo_base][INFO] - Alpamayo15Model Chain-of-Causation: ['Maintain lane and wait for a gap for a left-lane merge because a car is coming up and occupying the left adjacent lane while our current right lane narrows/ends ahead, so we must create space before moving left.']
runtime-0-1     | 02:41:47.976 [W0] INFO:	sim_time 9_307_912_661us: ControllerEvent @ 9_307_912_661us
runtime-0-1     | 02:41:47.984 [W0] INFO:	sim_time 9_307_912_661us: PhysicsEvent @ 9_307_912_661us
runtime-0-1     | 02:41:47.984 [W0] INFO:	sim_time 9_307_912_661us: TrafficEvent @ 9_307_912_661us
runtime-0-1     | 02:41:47.985 [W0] INFO:	sim_time 9_307_912_661us: PhysicsEvent @ 9_307_912_661us
runtime-0-1     | 02:41:47.985 [W0] INFO:	sim_time 9_307_912_661us: StepEvent @ 9_307_912_661us
runtime-0-1     | 02:41:47.987 [W0] INFO:	sim_time 9_308_012_661us: CameraFrameEvent(camera_front_wide_120fov, 9_307_982_661->9_308_012_661us)
runtime-0-1     | 02:41:48.238 [W0] INFO:	sim_time 9_308_012_661us: CameraFrameEvent(camera_cross_left_120fov, 9_307_982_661->9_308_012_661us)
runtime-0-1     | 02:41:48.355 [W0] INFO:	sim_time 9_308_012_661us: CameraFrameEvent(camera_front_tele_30fov, 9_307_982_661->9_308_012_661us)
runtime-0-1     | 02:41:48.576 [W0] INFO:	sim_time 9_308_012_661us: CameraFrameEvent(camera_cross_right_120fov, 9_307_982_661->9_308_012_661us)
runtime-0-1     | 02:41:48.809 [W0] INFO:	sim_time 9_308_012_661us: PolicyEvent @ 9_308_012_661us
runtime-0-1     | 02:41:48.810 [W0] INFO:	Draining 6 outstanding tasks
driver-0-1      | [2026-06-10 02:41:51,166][alpasim_driver.models.alpamayo_base][INFO] - Alpamayo15Model Chain-of-Causation: ['Yield to the cut-in vehicle from the left since it is entering our lane ahead']
runtime-0-1     | 02:41:51.191 [W0] INFO:	sim_time 9_308_012_661us: ControllerEvent @ 9_308_012_661us
runtime-0-1     | 02:41:51.199 [W0] INFO:	sim_time 9_308_012_661us: PhysicsEvent @ 9_308_012_661us
runtime-0-1     | 02:41:51.199 [W0] INFO:	sim_time 9_308_012_661us: TrafficEvent @ 9_308_012_661us
runtime-0-1     | 02:41:51.200 [W0] INFO:	sim_time 9_308_012_661us: PhysicsEvent @ 9_308_012_661us
runtime-0-1     | 02:41:51.200 [W0] INFO:	sim_time 9_308_012_661us: StepEvent @ 9_308_012_661us
runtime-0-1     | 02:41:51.202 [W0] INFO:	sim_time 9_308_112_661us: CameraFrameEvent(camera_front_tele_30fov, 9_308_082_661->9_308_112_661us)
runtime-0-1     | 02:41:51.500 [W0] INFO:	sim_time 9_308_112_661us: CameraFrameEvent(camera_cross_right_120fov, 9_308_082_661->9_308_112_661us)
runtime-0-1     | 02:41:51.755 [W0] INFO:	sim_time 9_308_112_661us: CameraFrameEvent(camera_front_wide_120fov, 9_308_082_661->9_308_112_661us)
runtime-0-1     | 02:41:51.911 [W0] INFO:	sim_time 9_308_112_661us: CameraFrameEvent(camera_cross_left_120fov, 9_308_082_661->9_308_112_661us)
runtime-0-1     | 02:41:52.027 [W0] INFO:	sim_time 9_308_112_661us: PolicyEvent @ 9_308_112_661us
runtime-0-1     | 02:41:52.028 [W0] INFO:	Draining 6 outstanding tasks
driver-0-1      | [2026-06-10 02:41:54,225][alpasim_driver.models.alpamayo_base][INFO] - Alpamayo15Model Chain-of-Causation: ['Keep distance to the cut-in vehicle since it merges into our lane ahead']
runtime-0-1     | 02:41:54.251 [W0] INFO:	sim_time 9_308_112_661us: ControllerEvent @ 9_308_112_661us
runtime-0-1     | 02:41:54.260 [W0] INFO:	sim_time 9_308_112_661us: PhysicsEvent @ 9_308_112_661us
runtime-0-1     | 02:41:54.260 [W0] INFO:	sim_time 9_308_112_661us: TrafficEvent @ 9_308_112_661us
runtime-0-1     | 02:41:54.261 [W0] INFO:	sim_time 9_308_112_661us: PhysicsEvent @ 9_308_112_661us
runtime-0-1     | 02:41:54.261 [W0] INFO:	sim_time 9_308_112_661us: StepEvent @ 9_308_112_661us
runtime-0-1     | 02:41:54.263 [W0] INFO:	sim_time 9_308_212_661us: CameraFrameEvent(camera_front_wide_120fov, 9_308_182_661->9_308_212_661us)
runtime-0-1     | 02:41:54.477 [W0] INFO:	sim_time 9_308_212_661us: CameraFrameEvent(camera_cross_left_120fov, 9_308_182_661->9_308_212_661us)
runtime-0-1     | 02:41:54.636 [W0] INFO:	sim_time 9_308_212_661us: CameraFrameEvent(camera_front_tele_30fov, 9_308_182_661->9_308_212_661us)
runtime-0-1     | 02:41:54.872 [W0] INFO:	sim_time 9_308_212_661us: CameraFrameEvent(camera_cross_right_120fov, 9_308_182_661->9_308_212_661us)
runtime-0-1     | 02:41:55.087 [W0] INFO:	sim_time 9_308_212_661us: PolicyEvent @ 9_308_212_661us
runtime-0-1     | 02:41:55.088 [W0] INFO:	Draining 6 outstanding tasks
driver-0-1      | [2026-06-10 02:41:57,287][alpasim_driver.models.alpamayo_base][INFO] - Alpamayo15Model Chain-of-Causation: ['Keep distance to the cut-in vehicle since it merges into our lane ahead']
runtime-0-1     | 02:41:57.314 [W0] INFO:	sim_time 9_308_212_661us: ControllerEvent @ 9_308_212_661us
runtime-0-1     | 02:41:57.324 [W0] INFO:	sim_time 9_308_212_661us: PhysicsEvent @ 9_308_212_661us
runtime-0-1     | 02:41:57.325 [W0] INFO:	sim_time 9_308_212_661us: TrafficEvent @ 9_308_212_661us
runtime-0-1     | 02:41:57.325 [W0] INFO:	sim_time 9_308_212_661us: PhysicsEvent @ 9_308_212_661us
runtime-0-1     | 02:41:57.326 [W0] INFO:	sim_time 9_308_212_661us: StepEvent @ 9_308_212_661us
runtime-0-1     | 02:41:57.327 [W0] INFO:	sim_time 9_308_312_661us: CameraFrameEvent(camera_cross_left_120fov, 9_308_282_661->9_308_312_661us)
runtime-0-1     | 02:41:57.501 [W0] INFO:	sim_time 9_308_312_661us: CameraFrameEvent(camera_front_tele_30fov, 9_308_282_661->9_308_312_661us)
runtime-0-1     | 02:41:57.838 [W0] INFO:	sim_time 9_308_312_661us: CameraFrameEvent(camera_front_wide_120fov, 9_308_282_661->9_308_312_661us)
runtime-0-1     | 02:41:57.993 [W0] INFO:	sim_time 9_308_312_661us: CameraFrameEvent(camera_cross_right_120fov, 9_308_282_661->9_308_312_661us)
runtime-0-1     | 02:41:58.206 [W0] INFO:	sim_time 9_308_312_661us: PolicyEvent @ 9_308_312_661us
runtime-0-1     | 02:41:58.207 [W0] INFO:	Draining 6 outstanding tasks
driver-0-1      | [2026-06-10 02:42:00,550][alpasim_driver.models.alpamayo_base][INFO] - Alpamayo15Model Chain-of-Causation: ['Keep distance to the lead vehicle since it is directly ahead in our lane']
runtime-0-1     | 02:42:00.576 [W0] INFO:	sim_time 9_308_312_661us: ControllerEvent @ 9_308_312_661us
runtime-0-1     | 02:42:00.584 [W0] INFO:	sim_time 9_308_312_661us: PhysicsEvent @ 9_308_312_661us
runtime-0-1     | 02:42:00.584 [W0] INFO:	sim_time 9_308_312_661us: TrafficEvent @ 9_308_312_661us
runtime-0-1     | 02:42:00.585 [W0] INFO:	sim_time 9_308_312_661us: PhysicsEvent @ 9_308_312_661us
runtime-0-1     | 02:42:00.586 [W0] INFO:	sim_time 9_308_312_661us: StepEvent @ 9_308_312_661us
runtime-0-1     | 02:42:00.587 [W0] INFO:	sim_time 9_308_412_661us: CameraFrameEvent(camera_front_wide_120fov, 9_308_382_661->9_308_412_661us)
runtime-0-1     | 02:42:00.812 [W0] INFO:	sim_time 9_308_412_661us: CameraFrameEvent(camera_cross_right_120fov, 9_308_382_661->9_308_412_661us)
runtime-0-1     | 02:42:01.075 [W0] INFO:	sim_time 9_308_412_661us: CameraFrameEvent(camera_cross_left_120fov, 9_308_382_661->9_308_412_661us)
runtime-0-1     | 02:42:01.180 [W0] INFO:	sim_time 9_308_412_661us: CameraFrameEvent(camera_front_tele_30fov, 9_308_382_661->9_308_412_661us)
runtime-0-1     | 02:42:01.366 [W0] INFO:	sim_time 9_308_412_661us: PolicyEvent @ 9_308_412_661us
runtime-0-1     | 02:42:01.367 [W0] INFO:	Draining 6 outstanding tasks
driver-0-1      | [2026-06-10 02:42:03,728][alpasim_driver.models.alpamayo_base][INFO] - Alpamayo15Model Chain-of-Causation: ['Keep distance to the cut-in vehicle since it merges into our lane ahead']
runtime-0-1     | 02:42:03.764 [W0] INFO:	sim_time 9_308_412_661us: ControllerEvent @ 9_308_412_661us
runtime-0-1     | 02:42:03.772 [W0] INFO:	sim_time 9_308_412_661us: PhysicsEvent @ 9_308_412_661us
runtime-0-1     | 02:42:03.773 [W0] INFO:	sim_time 9_308_412_661us: TrafficEvent @ 9_308_412_661us
runtime-0-1     | 02:42:03.773 [W0] INFO:	sim_time 9_308_412_661us: PhysicsEvent @ 9_308_412_661us
runtime-0-1     | 02:42:03.774 [W0] INFO:	sim_time 9_308_412_661us: StepEvent @ 9_308_412_661us
runtime-0-1     | 02:42:03.776 [W0] INFO:	sim_time 9_308_512_661us: CameraFrameEvent(camera_cross_left_120fov, 9_308_482_661->9_308_512_661us)
runtime-0-1     | 02:42:03.949 [W0] INFO:	sim_time 9_308_512_661us: CameraFrameEvent(camera_front_tele_30fov, 9_308_482_661->9_308_512_661us)
runtime-0-1     | 02:42:04.256 [W0] INFO:	sim_time 9_308_512_661us: CameraFrameEvent(camera_front_wide_120fov, 9_308_482_661->9_308_512_661us)
runtime-0-1     | 02:42:04.429 [W0] INFO:	sim_time 9_308_512_661us: CameraFrameEvent(camera_cross_right_120fov, 9_308_482_661->9_308_512_661us)
runtime-0-1     | 02:42:04.646 [W0] INFO:	sim_time 9_308_512_661us: PolicyEvent @ 9_308_512_661us
runtime-0-1     | 02:42:04.647 [W0] INFO:	Draining 6 outstanding tasks
driver-0-1      | [2026-06-10 02:42:06,955][alpasim_driver.models.alpamayo_base][INFO] - Alpamayo15Model Chain-of-Causation: ['Keep distance to the lead vehicle since it is directly ahead in our lane']
runtime-0-1     | 02:42:07.013 [W0] INFO:	sim_time 9_308_512_661us: ControllerEvent @ 9_308_512_661us
runtime-0-1     | 02:42:07.020 [W0] INFO:	sim_time 9_308_512_661us: PhysicsEvent @ 9_308_512_661us
runtime-0-1     | 02:42:07.021 [W0] INFO:	sim_time 9_308_512_661us: TrafficEvent @ 9_308_512_661us
runtime-0-1     | 02:42:07.021 [W0] INFO:	sim_time 9_308_512_661us: PhysicsEvent @ 9_308_512_661us
runtime-0-1     | 02:42:07.022 [W0] INFO:	sim_time 9_308_512_661us: StepEvent @ 9_308_512_661us
